i=0 isite1=2 A_spin=0 isite2=1 B_spin=0 tmp_V=-0.250000 
i=1 isite1=2 A_spin=0 isite2=1 B_spin=1 tmp_V=0.250000 
i=2 isite1=2 A_spin=1 isite2=1 B_spin=0 tmp_V=0.250000 
i=3 isite1=2 A_spin=1 isite2=1 B_spin=1 tmp_V=-0.250000 
i=4 isite1=4 A_spin=0 isite2=3 B_spin=0 tmp_V=-0.250000 
i=5 isite1=4 A_spin=0 isite2=3 B_spin=1 tmp_V=0.250000 
i=6 isite1=4 A_spin=1 isite2=3 B_spin=0 tmp_V=0.250000 
i=7 isite1=4 A_spin=1 isite2=3 B_spin=1 tmp_V=-0.250000 
i=8 isite1=6 A_spin=0 isite2=5 B_spin=0 tmp_V=-0.250000 
i=9 isite1=6 A_spin=0 isite2=5 B_spin=1 tmp_V=0.250000 
i=10 isite1=6 A_spin=1 isite2=5 B_spin=0 tmp_V=0.250000 
i=11 isite1=6 A_spin=1 isite2=5 B_spin=1 tmp_V=-0.250000 
i=12 isite1=8 A_spin=0 isite2=7 B_spin=0 tmp_V=-0.250000 
i=13 isite1=8 A_spin=0 isite2=7 B_spin=1 tmp_V=0.250000 
i=14 isite1=8 A_spin=1 isite2=7 B_spin=0 tmp_V=0.250000 
i=15 isite1=8 A_spin=1 isite2=7 B_spin=1 tmp_V=-0.250000 
i=16 isite1=10 A_spin=0 isite2=9 B_spin=0 tmp_V=-0.250000 
i=17 isite1=10 A_spin=0 isite2=9 B_spin=1 tmp_V=0.250000 
i=18 isite1=10 A_spin=1 isite2=9 B_spin=0 tmp_V=0.250000 
i=19 isite1=10 A_spin=1 isite2=9 B_spin=1 tmp_V=-0.250000 
i=20 isite1=12 A_spin=0 isite2=11 B_spin=0 tmp_V=-0.250000 
i=21 isite1=12 A_spin=0 isite2=11 B_spin=1 tmp_V=0.250000 
i=22 isite1=12 A_spin=1 isite2=11 B_spin=0 tmp_V=0.250000 
i=23 isite1=12 A_spin=1 isite2=11 B_spin=1 tmp_V=-0.250000 
i=24 isite1=14 A_spin=0 isite2=13 B_spin=0 tmp_V=-0.250000 
i=25 isite1=14 A_spin=0 isite2=13 B_spin=1 tmp_V=0.250000 
i=26 isite1=14 A_spin=1 isite2=13 B_spin=0 tmp_V=0.250000 
i=27 isite1=14 A_spin=1 isite2=13 B_spin=1 tmp_V=-0.250000 
i=28 isite1=16 A_spin=0 isite2=15 B_spin=0 tmp_V=-0.250000 
i=29 isite1=16 A_spin=0 isite2=15 B_spin=1 tmp_V=0.250000 
i=30 isite1=16 A_spin=1 isite2=15 B_spin=0 tmp_V=0.250000 
i=31 isite1=16 A_spin=1 isite2=15 B_spin=1 tmp_V=-0.250000 
i=32 isite1=18 A_spin=0 isite2=17 B_spin=0 tmp_V=-0.250000 
i=33 isite1=18 A_spin=0 isite2=17 B_spin=1 tmp_V=0.250000 
i=34 isite1=18 A_spin=1 isite2=17 B_spin=0 tmp_V=0.250000 
i=35 isite1=18 A_spin=1 isite2=17 B_spin=1 tmp_V=-0.250000 
i=36 isite1=20 A_spin=0 isite2=19 B_spin=0 tmp_V=-0.250000 
i=37 isite1=20 A_spin=0 isite2=19 B_spin=1 tmp_V=0.250000 
i=38 isite1=20 A_spin=1 isite2=19 B_spin=0 tmp_V=0.250000 
i=39 isite1=20 A_spin=1 isite2=19 B_spin=1 tmp_V=-0.250000 
i=40 isite1=22 A_spin=0 isite2=21 B_spin=0 tmp_V=-0.250000 
i=41 isite1=22 A_spin=0 isite2=21 B_spin=1 tmp_V=0.250000 
i=42 isite1=22 A_spin=1 isite2=21 B_spin=0 tmp_V=0.250000 
i=43 isite1=22 A_spin=1 isite2=21 B_spin=1 tmp_V=-0.250000 
i=44 isite1=24 A_spin=0 isite2=23 B_spin=0 tmp_V=-0.250000 
i=45 isite1=24 A_spin=0 isite2=23 B_spin=1 tmp_V=0.250000 
i=46 isite1=24 A_spin=1 isite2=23 B_spin=0 tmp_V=0.250000 
i=47 isite1=24 A_spin=1 isite2=23 B_spin=1 tmp_V=-0.250000 
